CNO,START,END,CYTOBAND,GSYM,GENE_ALIAS,,GENE_NAME,GENE_TYPE,GPATTERN
10,71300000,74600000,10q22.1,UNC5B,UNC5H2|p53RDL1,HGNC:12568|MIM:607870|Ensembl:ENSG00000107731|HPRD:08487|Vega:OTTHUMG00000018422,unc-5 homolog B (C. elegans),protein-coding,netrin receptor UNC5B|p53-regulated receptor for death and life protein 1|protein unc-5 homolog 2|protein unc-5 homolog B|transmembrane receptor Unc5H2|unc-5 homolog 2
7,97900000,104400000,7q22.1,FBXL13,Fbl13,HGNC:21658|MIM:609080|Ensembl:ENSG00000161040|HPRD:12364|Vega:OTTHUMG00000157224,F-box and leucine-rich repeat protein 13,protein-coding,F-box/LRR-repeat protein 13
7,97900000,104400000,7q22.1,NAPEPLD,FMP30|NAPE-PLD,HGNC:21683|MIM:612334|Ensembl:ENSG00000161048|HPRD:14809|Vega:OTTHUMG00000157204,N-acyl phosphatidylethanolamine phospholipase D,protein-coding,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D|NAPE-hydrolyzing phospholipase D
15,86900000,92100000,15q26.1,FES,FPS,HGNC:3657|MIM:190030|Ensembl:ENSG00000182511|HPRD:01814|Vega:OTTHUMG00000044456,feline sarcoma oncogene,protein-coding,"Oncogene FES, feline sarcoma virus|feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog|feline sarcoma/Fujinami avian sarcoma oncogene homolog|p93c-fes|proto-oncogene c-Fes|proto-oncogene c-Fps|proto-oncogene tyrosine-protein kinase Fes/Fps|tyrosine-protein kinase Fes/Fps"
1,222100000,228800000,1q42.1,FH,HLRCC|LRCC|MCL|MCUL1,HGNC:3700|MIM:136850|Ensembl:ENSG00000091483|HPRD:00652|Vega:OTTHUMG00000039597,fumarate hydratase,protein-coding,"fumarase|fumarate hydratase, mitochondrial"
3,58500000,63700000,3p14.2,FHIT,AP3Aase|FRA3B,HGNC:3701|MIM:601153|Ensembl:ENSG00000189283|HPRD:03096|Vega:OTTHUMG00000158591,fragile histidine triad gene,protein-coding,"AP3A hydrolase|bis(5'-adenosyl)-triphosphatase|diadenosine 5',5'''-P1,P3-triphosphate hydrolase|dinucleosidetriphosphatase|fragile histidine triad protein|tumor suppressor protein"
19,37100000,63811651,19q13,SIRT2,SIR2|SIR2L|SIR2L2,HGNC:10886|MIM:604480|Ensembl:ENSG00000068903|HPRD:10377|Vega:OTTHUMG00000150480,sirtuin 2,protein-coding,NAD-dependent deacetylase sirtuin-2|SIR2-like protein 2|silent information regulator 2|sir2-related protein type 2|sirtuin type 2
10,42100000,53300000,10q11.2,DKK1,DKK-1|SK,HGNC:2891|MIM:605189|Ensembl:ENSG00000107984|HPRD:05544|Vega:OTTHUMG00000018247,dickkopf 1 homolog (Xenopus laevis),protein-coding,dickkopf related protein-1|dickkopf-1 like|dickkopf-related protein 1|hDkk-1
6,0,7000000,6p25,FOXC1,ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3,HGNC:3800|MIM:601090|Ensembl:ENSG00000054598|HPRD:03054|Vega:OTTHUMG00000016182,forkhead box C1,protein-coding,"forkhead box protein C1|forkhead, drosophila, homolog-like 7|forkhead-related activator 3|forkhead-related protein FKHL7|forkhead-related transcription factor 3|forkhead/winged helix-like transcription factor 7|myeloid factor-delta"
16,69400000,69800000,16q22.2,PHLPP2,PHLPPL,HGNC:29149|MIM:611066|Ensembl:ENSG00000040199|HPRD:11118,PH domain and leucine rich repeat protein phosphatase 2,protein-coding,PH domain leucine-rich repeat-containing protein phosphatase 2
13,27800000,31100000,13q12.3,PDS5B,APRIN|AS3|CG008,HGNC:20418|MIM:605333|Ensembl:ENSG00000083642|HPRD:05624|Vega:OTTHUMG00000016704,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)",protein-coding,androgen induced inhibitor of proliferation|androgen-induced proliferation inhibitor|androgen-induced prostate proliferative shutoff-associated protein AS3|androgen-induced shutoff 3|sister chromatid cohesion protein PDS5 homolog B
13,39500000,46200000,13q14.1,FOXO1,FKH1|FKHR|FOXO1A,HGNC:3819|MIM:136533|Ensembl:ENSG00000150907|HPRD:00645|Vega:OTTHUMG00000016775,forkhead box O1,protein-coding,"forkhead box protein O1|forkhead box protein O1A|forkhead, Drosophila, homolog of, in rhabdomyosarcoma"
8,23400000,27400000,8p21.2,TRIM35,HLS5|MAIR,HGNC:16285|Ensembl:ENSG00000104228|HPRD:15553|Vega:OTTHUMG00000102047,tripartite motif containing 35,protein-coding,hemopoietic lineage switch protein 5|tripartite motif-containing 35|tripartite motif-containing protein 35
6,104800000,113900000,6q21,FOXO3,AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A,HGNC:3821|MIM:602681|Ensembl:ENSG00000118689|HPRD:04061|Vega:OTTHUMG00000015327,forkhead box O3,protein-coding,"forkhead box O3A|forkhead box protein O3|forkhead homolog (rhabdomyosarcoma) like 1|forkhead in rhabdomyosarcoma-like 1|forkhead, Drosophila, homolog of, in rhabdomyosarcoma-like 1"
1,7100000,16100000,1p36.2,KIF1B,CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1,HGNC:16636|MIM:605995|Ensembl:ENSG00000054523|HPRD:05818|Vega:OTTHUMG00000001817,kinesin family member 1B,protein-coding,kinesin superfamily protein KIF1B|kinesin-like protein KIF1B
7,142800000,147500000,7q35,AKR1B1,ADR|ALDR1|ALR2|AR,HGNC:381|MIM:103880|Ensembl:ENSG00000085662|HPRD:00071|Vega:OTTHUMG00000155322,"aldo-keto reductase family 1, member B1 (aldose reductase)",protein-coding,Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldo-keto reductase family 1 member B1|aldose reductase|low Km aldose reductase
18,0,2900000,18p11.32,EPB41L3,4.1B|DAL-1|DAL1,HGNC:3380|MIM:605331|Ensembl:ENSG00000082397|HPRD:05622|Vega:OTTHUMG00000131562,erythrocyte membrane protein band 4.1-like 3,protein-coding,band 4.1-like protein 3|differentially expressed in adenocarcinoma of the lung protein 1
9,0,2200000,9p24.3,KANK1,ANKRD15|CPSQ2|KANK,HGNC:19309|MIM:607704|Ensembl:ENSG00000107104|HPRD:09651|Vega:OTTHUMG00000019434,KN motif and ankyrin repeat domains 1,protein-coding,KN motif and ankyrin repeat domain-containing protein 1|ankyrin repeat domain 15|ankyrin repeat domain-containing protein 15|kidney ankyrin repeat-containing protein
9,93000000,95600000,9q22.31,FAM120A,C9orf10|DNAPTP1|DNAPTP5|OSSA,HGNC:13247|MIM:612265|Ensembl:ENSG00000048828|HPRD:12928|Vega:OTTHUMG00000020252,family with sequence similarity 120A,protein-coding,DNA polymerase-transactivated protein 1|DNA polymerase-transactivated protein 5|constitutive coactivator of PPAR-gamma-like protein 1|oxidative stress-associated Src activator
8,19100000,23400000,8p21.3,RHOBTB2,DBC2,HGNC:18756|MIM:607352|Ensembl:ENSG00000008853|HPRD:06300|Vega:OTTHUMG00000097827,Rho-related BTB domain containing 2,protein-coding,deleted in breast cancer 2 gene protein|p83|rho-related BTB domain-containing protein 2
18,57100000,59800000,18q21.33,PHLPP1,PHLPP|PLEKHE1|SCOP,HGNC:20610|MIM:609396|Ensembl:ENSG00000081913|HPRD:15145|Vega:OTTHUMG00000150629,PH domain and leucine rich repeat protein phosphatase 1,protein-coding,"PH domain leucine-rich repeat-containing protein phosphatase 1|PH domain-containing family E member 1|SCN circadian oscillatory protein|pleckstrin homology domain containing, family E (with leucine rich repeats) member 1|suprachiasmatic nucleus circadian oscillatory protein"
1,5300000,9200000,1p36.31-p36.23,CAMTA1,-,HGNC:18806|MIM:611501|Ensembl:ENSG00000171735|HPRD:16681|Vega:OTTHUMG00000001212,calmodulin binding transcription activator 1,protein-coding,calmodulin-binding transcription activator 1
6,145700000,149100000,6q24.3,SASH1,RP3-323M4.1|SH3D6A|dJ323M4|dJ323M4.1,HGNC:19182|MIM:607955|Ensembl:ENSG00000111961|HPRD:06408|Vega:OTTHUMG00000015773,SAM and SH3 domain containing 1,protein-coding,2500002E12Rik|SAM and SH3 domain-containing protein 1|proline-glutamate repeat-containing protein
15,96300000,100338915,15q26.3,SYNM,DMN|SYN,HGNC:24466|MIM:606087|Ensembl:ENSG00000182253|HPRD:07305|Vega:OTTHUMG00000171887,"synemin, intermediate filament protein",protein-coding,desmuslin|synemin|synemin alpha|synemin beta
11,115400000,120700000,11q23.3,ARHGEF12,LARG|PRO2792,HGNC:14193|MIM:604763|Ensembl:ENSG00000196914|HPRD:09207|Vega:OTTHUMG00000166143,Rho guanine nucleotide exchange factor (GEF) 12,protein-coding,leukemia-associated RhoGEF|leukemia-associated rho guanine nucleotide exchange factor|rho guanine nucleotide exchange factor 12
6,92100000,98700000,6q16.1,UFL1,KIAA0776|Maxer|NLBP|RCAD|RP3-393D12.1,HGNC:23039|MIM:613372|Ensembl:ENSG00000014123|HPRD:11109|Vega:OTTHUMG00000015238,UFM1-specific ligase 1,protein-coding,E3 UFM1-protein ligase 1|LZAP-binding protein|Regulator of CDK5RAP3 and DDRGK1|novel LZAP-binding protein
12,74100000,78700000,12q21.2,ZDHHC17,HIP14|HIP3|HYPH,HGNC:18412|MIM:607799|Ensembl:ENSG00000186908|HPRD:09697|Vega:OTTHUMG00000169917,"zinc finger, DHHC-type containing 17",protein-coding,"DHHC-17|HIP-14|HIP-3|Huntingtin interacting protein H|huntingtin interacting protein 14|huntingtin interacting protein 3|huntingtin yeast partner H|huntingtin-interacting protein 14|huntingtin-interacting protein 3|huntingtin-interacting protein H|palmitoyltransferase ZDHHC17|putative MAPK-activating protein PM11|putative NF-kappa-B-activating protein 205|zinc finger DHHC domain-containing protein 17|zinc finger, DHHC domain containing 17"
11,0,2800000,11p15.5,SIRT3,SIR2L3,HGNC:14931|MIM:604481|Ensembl:ENSG00000142082|HPRD:06836|Vega:OTTHUMG00000119074,sirtuin 3,protein-coding,"NAD-dependent deacetylase sirtuin-3, mitochondrial|SIR2-like protein 3|mitochondrial nicotinamide adenine dinucleotide-dependent deacetylase|silent mating type information regulation 2, S.cerevisiae, homolog 3|sir2-like 3|sirtuin type 3"
8,140000000,146274826,8q24.3,SCRIB,CRIB1|SCRB1|SCRIB1|Vartul,HGNC:30377|MIM:607733|Ensembl:ENSG00000180900|HPRD:06984|Vega:OTTHUMG00000165154,scribbled homolog (Drosophila),protein-coding,protein scribble homolog
22,27900000,30500000,22q12.2,SEC14L2,C22orf6|SPF|TAP|TAP1,HGNC:10699|MIM:607558|Ensembl:ENSG00000100003|HPRD:06344|Vega:OTTHUMG00000151024,SEC14-like 2 (S. cerevisiae),protein-coding,SEC14-like protein 2|alpha-tocopherol-associated protein|squalene transfer protein|supernatant protein factor|tocopherol-associated protein
10,0,12300000,10p15-p14,GTPBP4,CRFG|NGB|NOG1,HGNC:21535|Ensembl:ENSG00000107937|HPRD:09976|Vega:OTTHUMG00000017538,GTP binding protein 4,protein-coding,G protein-binding protein CRFG|GTP-binding protein NGB|chronic renal failure gene protein|nucleolar GTP-binding protein 1
1,184000000,197500000,1q31,PHLDA3,TIH1,HGNC:8934|MIM:607054|Ensembl:ENSG00000174307|HPRD:09519|Vega:OTTHUMG00000035767,"pleckstrin homology-like domain, family A, member 3",protein-coding,"TDAG51/Ipl homolog 1|pleckstrin homology-like domain family A member 3|pleckstrin homology-like domain, family A, member 2"
2,191600000,197100000,2q32.3,TMEFF2,CT120.2|HPP1|TENB2|TPEF|TR,HGNC:11867|MIM:605734|Ensembl:ENSG00000144339|HPRD:05760|Vega:OTTHUMG00000132723,transmembrane protein with EGF-like and two follistatin-like domains 2,protein-coding,"TR-2|cancer/testis antigen family 120, member 2|hyperplastic polyposis protein 1|tomoregulin|tomoregulin-2|transmembrane protein TENB2"
11,112800000,115400000,11q23.2,CADM1,BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1,HGNC:5951|MIM:605686|Ensembl:ENSG00000182985|HPRD:05746|Vega:OTTHUMG00000168202,cell adhesion molecule 1,protein-coding,"TSLC-1|TSLC1/Nectin-like 2/IGSF4|immunoglobulin superfamily member 4|immunoglobulin superfamily, member 4|immunoglobulin superfamily, member 4D variant 2|nectin-like 2|nectin-like protein 2|spermatogenic immunoglobulin superfamily|synaptic cell adhesion molecule|tumor suppressor in lung cancer 1"
3,43600000,51400000,3p21.3,NAT6,FUS-2|FUS2,HGNC:30252|MIM:607073|Ensembl:ENSG00000243477|HPRD:06148|Vega:OTTHUMG00000156939,N-acetyltransferase 6 (GCN5-related),protein-coding,N-acetyltransferase 6|protein fusion-2
6,104800000,130400000,6q21-q22.3,FRK,GTK|PTK5|RAK,HGNC:3955|MIM:606573|Ensembl:ENSG00000111816|HPRD:05954|Vega:OTTHUMG00000015424,fyn-related kinase,protein-coding,PTK5 protein tyrosine kinase 5|nuclear tyrosine protein kinase RAK|protein-tyrosine kinase 5|tyrosine-protein kinase FRK
6,145700000,149100000,6q24.3,SHPRH,bA545I5.2,HGNC:19336|MIM:608048|Ensembl:ENSG00000146414|HPRD:10476|Vega:OTTHUMG00000015750,SNF2 histone linker PHD RING helicase,protein-coding,"2610103K11Rik|E3 ubiquitin-protein ligase SHPRH|SNF2, histone-linker, PHD and RING finger domain-containing helicase"
11,115400000,120700000,11q23.3,POU2F3,Epoc-1|OCT-11|OCT11|OTF-11|PLA-1|PLA1|Skn-1a,HGNC:19864|MIM:607394|Ensembl:ENSG00000137709|HPRD:09582|Vega:OTTHUMG00000166140,POU class 2 homeobox 3,protein-coding,"POU domain transcription factor OCT11a|POU domain, class 2, transcription factor 3|octamer-binding protein 11|octamer-binding transcription factor 11|transcription factor PLA-1|transcription factor Skn-1"
11,63100000,76700000,11q13-q13.2,BRMS1,-,HGNC:17262|MIM:606259|Ensembl:ENSG00000174744|HPRD:05879|Vega:OTTHUMG00000167081,breast cancer metastasis suppressor 1,protein-coding,breast cancer metastasis-suppressor 1
18,71300000,76117153,18q23,GALR1,GALNR|GALNR1,HGNC:4132|MIM:600377|Ensembl:ENSG00000166573|HPRD:02657|Vega:OTTHUMG00000132875,galanin receptor 1,protein-coding,GAL1-R|GALR-1|galanin receptor type 1
1,5300000,7100000,1p36.31,CHD5,-,HGNC:16816|MIM:610771|Ensembl:ENSG00000116254|HPRD:10828|Vega:OTTHUMG00000000952,chromodomain helicase DNA binding protein 5,protein-coding,ATP-dependent helicase CHD5|CHD-5|chromodomain-helicase-DNA-binding protein 5
7,142800000,147500000,7q35,CNTNAP2,AUTS15|CASPR2|CDFE|NRXN4|PTHSL1,HGNC:13830|MIM:604569|Ensembl:ENSG00000174469|HPRD:05197|Vega:OTTHUMG00000152743,contactin associated protein-like 2,protein-coding,cell recognition molecule Caspr2|contactin-associated protein 2|contactin-associated protein-like 2|homolog of Drosophila neurexin IV
7,114400000,117200000,7q31.2,TES,TESS|TESS-2,HGNC:14620|MIM:606085|Ensembl:ENSG00000135269|HPRD:05833|Vega:OTTHUMG00000023092,testis derived transcript (3 LIM domains),protein-coding,testin
9,80300000,101600000,9q21.3-q22,GAS1,-,HGNC:4165|MIM:139185|Ensembl:ENSG00000180447|HPRD:00747|Vega:OTTHUMG00000020141,growth arrest-specific 1,protein-coding,GAS-1|Growth arrest-specific gene-1|growth arrest-specific protein 1
11,36400000,43400000,11p12,EHF,ESE3|ESE3B|ESEJ,HGNC:3246|MIM:605439|Ensembl:ENSG00000135373|HPRD:16105|Vega:OTTHUMG00000166454,ets homologous factor,protein-coding,ESE3 transcription factor|ETS domain-containing transcription factor|ETS homologous factor|epithelium-specific Ets transcription factor 3|hEHF
9,122000000,125800000,9q33.2,LHX6,LHX6.1,HGNC:21735|MIM:608215|Ensembl:ENSG00000106852|HPRD:10498|Vega:OTTHUMG00000020601,LIM homeobox 6,protein-coding,LIM homeodomain protein 6.1|LIM/homeobox protein Lhx6|LIM/homeobox protein Lhx6.1
13,48900000,52200000,13q14.3,INTS6,DBI-1|DDX26|DDX26A|DICE1|HDB|INT6|Notchl2,HGNC:14879|MIM:604331|Ensembl:ENSG00000102786|HPRD:05063|Vega:OTTHUMG00000016945,integrator complex subunit 6,protein-coding,DEAD box protein|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26|RNA helicase HDB|protein deleted in cancer 1
13,16000000,31100000,13q11-q12,LATS2,KPM,HGNC:6515|MIM:604861|Ensembl:ENSG00000150457|HPRD:07277|Vega:OTTHUMG00000016531,"LATS, large tumor suppressor, homolog 2 (Drosophila)",protein-coding,"LATS (large tumor suppressor, Drosophila) homolog 2|kinase phosphorylated during mitosis protein|large tumor suppressor homolog 2|serine/threonine kinase KPM|serine/threonine-protein kinase LATS2|serine/threonine-protein kinase kpm|warts-like kinase"
19,0,6900000,19p13.3,AMH,MIF|MIS,HGNC:464|MIM:600957|Ensembl:ENSG00000104899|HPRD:02979,anti-Mullerian hormone,protein-coding,Mullerian inhibiting factor|Mullerian inhibiting substance|anti-Muellerian hormone|muellerian-inhibiting factor|muellerian-inhibiting substance
7,97900000,126900000,7q22-q31,HBP1,-,HGNC:23200|Ensembl:ENSG00000105856|HPRD:13634|Vega:OTTHUMG00000157642,HMG-box transcription factor 1,protein-coding,HMG box transcription factor 1|HMG box-containing protein 1|high mobility group box transcription factor 1
6,104800000,135200000,6q21-q23.2,GJA1,AVSD3|CX43|DFNB38|GJAL|HSS|ODDD,HGNC:4274|MIM:121014|Ensembl:ENSG00000152661|HPRD:00414|Vega:OTTHUMG00000015479,"gap junction protein, alpha 1, 43kDa",protein-coding,connexin 43|connexin-43|gap junction 43 kDa heart protein|gap junction alpha-1 protein
13,16000000,31100000,13q11-q12,GJB2,CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK,HGNC:4284|MIM:121011|Ensembl:ENSG00000165474|HPRD:00413|Vega:OTTHUMG00000016513,"gap junction protein, beta 2, 26kDa",protein-coding,connexin 26|gap junction beta-2 protein
3,63700000,71800000,3p14.1,FOXP1,12CC4|QRF1|hFKH1B,HGNC:3823|MIM:605515|Ensembl:ENSG00000114861|HPRD:18518|Vega:OTTHUMG00000158803,forkhead box P1,protein-coding,fork head-related protein like B|forkhead box protein P1|glutamine-rich factor 1
11,12600000,16100000,11p15.2,DKK3,REIC|RIG,HGNC:2893|MIM:605416|Ensembl:ENSG00000050165|HPRD:05659|Vega:OTTHUMG00000165709,dickkopf 3 homolog (Xenopus laevis),protein-coding,RIG-like 5-6|RIG-like 7-1|dickkopf homolog 3|dickkopf-3|dickkopf-related protein 3|dkk-3|hDkk-3|regulated in glioma
16,87200000,88827254,16q24.3,CPNE7,-,HGNC:2320|MIM:605689|Ensembl:ENSG00000178773|HPRD:05749|Vega:OTTHUMG00000138051,copine VII,protein-coding,copine 7|copine-7
1,142400000,153300000,1q21,SLC39A1,ZIP1|ZIRTL,HGNC:12876|MIM:604740|Ensembl:ENSG00000143570|HPRD:11984|Vega:OTTHUMG00000037158,"solute carrier family 39 (zinc transporter), member 1",protein-coding,"ZIP-1|hZIP1|solute carrier family 39 (zinc transporter), member 3|solute carrier family 39 member 1|zinc transporter ZIP1|zrt- and Irt-like protein 1"
6,45200000,57200000,6p12,GNMT,-,HGNC:4415|MIM:606628|Ensembl:ENSG00000124713|HPRD:05970|Vega:OTTHUMG00000014712,glycine N-methyltransferase,protein-coding,-
10,98000000,105700000,10q24,PDCD4,H731,HGNC:8763|MIM:608610|Ensembl:ENSG00000150593|HPRD:10549|Vega:OTTHUMG00000019048,programmed cell death 4 (neoplastic transformation inhibitor),protein-coding,neoplastic transformation inhibitor protein|nuclear antigen H731|programmed cell death protein 4|protein 197/15a
2,70500000,72600000,2p13.3,BMP10,-,HGNC:20869|MIM:608748|Ensembl:ENSG00000163217|HPRD:09788|Vega:OTTHUMG00000129573,bone morphogenetic protein 10,protein-coding,BMP-10
2,113800000,129600000,2q14,BIN1,AMPH2|AMPHL|SH3P9,HGNC:1052|MIM:601248|Ensembl:ENSG00000136717|HPRD:03150|Vega:OTTHUMG00000131465,bridging integrator 1,protein-coding,amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1|myc box-dependent-interacting protein 1
2,75400000,83700000,2p12,HTRA2,OMI|PARK13|PRSS25,HGNC:14348|MIM:606441|Ensembl:ENSG00000115317|HPRD:05919|Vega:OTTHUMG00000129957,HtrA serine peptidase 2,protein-coding,"HtrA-like serine protease|Omi stress-regulated endoprotease|high temperature requirement protein A2|protease, serine, 25|serine protease 25|serine protease HTRA2, mitochondrial|serine proteinase OMI"
1,23800000,27800000,1p36.11,SFN,YWHAS,HGNC:10773|MIM:601290|Ensembl:ENSG00000175793|HPRD:03185|Vega:OTTHUMG00000004093,stratifin,protein-coding,14-3-3 protein sigma|14-3-3 sigma|epithelial cell marker protein 1
13,46200000,48900000,13q14.2,KCNRG,DLTET,HGNC:18893|MIM:607947|Ensembl:ENSG00000198553|HPRD:06404|Vega:OTTHUMG00000140140,potassium channel regulator,protein-coding,potassium channel regulatory protein|putative potassium channel regulatory protein
1,222700000,225100000,1q42.12,LIN9,BARA|BARPsv|Lin-9|TGS|TGS1,HGNC:30830|MIM:609375|Ensembl:ENSG00000183814|HPRD:13990|Vega:OTTHUMG00000037557,lin-9 homolog (C. elegans),protein-coding,TUDOR gene similar protein|beta subunit-associated regulator of apoptosis|hLin-9|huLin-9|pRB-associated protein|protein lin-9 homolog|rb related pathway actor|type I interferon receptor beta chain-associated protein
5,115200000,130400000,5q23,GPX3,GPx-P|GSHPx-3|GSHPx-P,HGNC:4555|MIM:138321|Ensembl:ENSG00000211445|HPRD:11750|Vega:OTTHUMG00000163693,glutathione peroxidase 3 (plasma),protein-coding,GPx-3|extracellular glutathione peroxidase|glutathione peroxidase 3|plasma glutathione peroxidase
7,126900000,142800000,7q32-q34,HIPK2,PRO0593,HGNC:14402|MIM:606868|Ensembl:ENSG00000064393|HPRD:06039|Vega:OTTHUMG00000157704,homeodomain interacting protein kinase 2,protein-coding,hHIPk2|homeodomain-interacting protein kinase 2
19,47800000,57600000,19q13.3,ARHGAP35,GRF-1|GRLF1|P190-A|P190A|p190ARhoGAP|p190RhoGAP,HGNC:4591|MIM:605277|Ensembl:ENSG00000160007|HPRD:05592,Rho GTPase activating protein 35,protein-coding,glucocorticoid receptor DNA binding factor 1|glucocorticoid receptor DNA-binding factor 1|glucocorticoid receptor repression factor 1|rho GAP p190A|rho GTPase-activating protein 35
16,27600000,34400000,16p11.2,PYCARD,ASC|CARD5|TMS|TMS-1|TMS1,HGNC:16608|MIM:606838|Ensembl:ENSG00000103490|HPRD:06020|Vega:OTTHUMG00000132405,PYD and CARD domain containing,protein-coding,apoptosis-associated speck-like protein containing a CARD|caspase recruitment domain-containing protein 5|target of methylation-induced silencing 1
16,45500000,54500000,16q12,BRD7,BP75|CELTIX1|NAG4,HGNC:14310|Ensembl:ENSG00000166164|Vega:OTTHUMG00000133170,bromodomain containing 7,protein-coding,75 kDa bromodomain protein|bromodomain-containing protein 7|protein CELTIX-1
1,107000000,111600000,1p13.3,GSTM1,GST1|GSTM1-1|GSTM1a-1a|GSTM1b-1b|GTH4|GTM1|H-B|MU|MU-1,HGNC:4632|MIM:138350|Ensembl:ENSG00000134184|HPRD:00707|Vega:OTTHUMG00000011635,glutathione S-transferase mu 1,protein-coding,GST HB subunit 4|GST class-mu 1|HB subunit 4|S-(hydroxyalkyl)glutathione lyase|glutathione S-alkyltransferase|glutathione S-aralkyltransferase|glutathione S-aryltransferase|glutathione S-transferase M1|glutathione S-transferase Mu 1
22,21800000,24300000,22q11.23,GSTT1,-,HGNC:4641|MIM:600436|Ensembl:ENSG00000184674|HPRD:02700|Vega:OTTHUMG00000150816,glutathione S-transferase theta 1,protein-coding,GST class-theta-1|glutathione S-transferase theta-1|glutathione transferase T1-1
14,15600000,106368585,14q,BRF1,BRF|BRF-1|GTF3B|TAF3B2|TAF3C|TAFIII90|TF3B90|TFIIIB90|hBRF,HGNC:11551|MIM:604902|Ensembl:ENSG00000185024|HPRD:05361|Vega:OTTHUMG00000029884,"BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)",protein-coding,"B - related factor 1|TATA box binding protein (TBP)-associated factor 3C|TATA box binding protein (TBP)-associated factor, RNA polymerase III, GTF3B subunit 2|TBP - associated factor, RNA polymerase III, 90kD|general transcription factor IIIB, 90kD subunit|transcription factor IIIB 90 kDa subunit"
19,47800000,57600000,19q13.3,GLTSCR2,PICT-1|PICT1,HGNC:4333|MIM:605691|Ensembl:ENSG00000105373|HPRD:16142,glioma tumor suppressor candidate region gene 2,protein-coding,glioma tumor suppressor candidate region gene 2 protein|p60|protein interacting with carboxyl terminus 1
19,47800000,57600000,19q13.3,GLTSCR1,-,HGNC:4332|MIM:605690|Ensembl:ENSG00000063169|HPRD:09296,glioma tumor suppressor candidate region gene 1,protein-coding,glioma tumor suppressor candidate region gene 1 protein
9,60300000,70000000,9q12-q21.2|9q21.13,ANXA1,ANX1|LPC1,HGNC:533|MIM:151690|Ensembl:ENSG00000135046|HPRD:01060|Vega:OTTHUMG00000020016,annexin A1,protein-coding,annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|lipocortin I|p35|phospholipase A2 inhibitory protein
17,0,3600000,17p13.3,HIC1,ZBTB29|ZNF901|hic-1,HGNC:4909|MIM:603825|Ensembl:ENSG00000177374|HPRD:04826,hypermethylated in cancer 1,protein-coding,hypermethylated in cancer 1 protein|zinc finger and BTB domain-containing protein 29
5,135400000,139000000,5q31.2,HINT1,HINT|PKCI-1|PRKCNH1,HGNC:4912|MIM:601314|Ensembl:ENSG00000169567|HPRD:03204|Vega:OTTHUMG00000128995,histidine triad nucleotide binding protein 1,protein-coding,adenosine 5'-monophosphoramidase|histidine triad nucleotide-binding protein 1|protein kinase C inhibitor 1|protein kinase C-interacting protein 1
10,74600000,77400000,10q22.2,ANXA7,ANX7|SNX|SYNEXIN,HGNC:545|MIM:186360|Ensembl:ENSG00000138279|HPRD:01720|Vega:OTTHUMG00000018463,annexin A7,protein-coding,annexin VII|annexin-7
12,44600000,56300000,12q13,NR4A1,GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3,HGNC:7980|MIM:139139|Ensembl:ENSG00000123358|HPRD:00744|Vega:OTTHUMG00000150393,"nuclear receptor subfamily 4, group A, member 1",protein-coding,ST-59|TR3 orphan receptor|early response protein NAK1|growth factor-inducible nuclear protein N10|hormone receptor|nerve growth factor IB nuclear receptor variant 1|nuclear hormone receptor NUR/77|nuclear receptor subfamily 4 group A member 1|orphan nuclear receptor HMR|orphan nuclear receptor TR3|steroid receptor TR3|testicular receptor 3
12,94800000,107500000,12q23,APAF1,APAF-1|CED4,HGNC:576|MIM:602233|Ensembl:ENSG00000120868|HPRD:03755|Vega:OTTHUMG00000170214,apoptotic peptidase activating factor 1,protein-coding,apoptotic protease-activating factor 1
20,17800000,27100000,20p11,FOXA2,HNF3B|TCF3B,HGNC:5022|MIM:600288|Ensembl:ENSG00000125798|HPRD:02618|Vega:OTTHUMG00000032041,forkhead box A2,protein-coding,"HNF-3-beta|HNF-3B|TCF-3B|forkhead box protein A2|hepatic nuclear factor-3-beta|hepatocyte nuclear factor 3, beta|hepatocyte nuclear factor 3-beta|transcription factor 3B"
15,51100000,55800000,15q21.3,ONECUT1,HNF-6|HNF6|HNF6A,HGNC:8138|MIM:604164|Ensembl:ENSG00000169856|HPRD:05002|Vega:OTTHUMG00000131899,one cut homeobox 1,protein-coding,"hepatocyte nuclear factor 6|hepatocyte nuclear factor 6, alpha|one cut domain family member 1|one cut domain, family member 1"
